datetime,temp,dew,humidity,precip,precipcover,preciptype,uvindex,uvindextype
1/1/2019,47.2,36.1,67.3,0.576,25,Rainy,4,Moderate
1/2/2019,31.9,11.2,43,,,,4,Moderate
1/3/2019,39,27.8,64.8,0.023,8.33,Rainy,4,Moderate
1/4/2019,40.9,25.5,54.4,,,,4,Moderate
1/5/2019,40.3,35.7,83.7,0.545,54.17,Rainy,1,Low
1/6/2019,37.7,24.4,59.8,,,,4,Moderate
1/7/2019,25.5,-0.9,32.1,,,,4,Moderate
1/8/2019,36.2,27.9,74.3,0.023,8.33,Snowfall,1,Low
1/9/2019,39.8,31.2,72.7,0.13,25,Rainy,2,Low
1/10/2019,34,18.3,52.3,,,,2,Low
1/11/2019,24.7,4.5,42.2,,,,4,Moderate
1/12/2019,21.2,-2.8,34.8,,,,4,Moderate
1/13/2019,22.4,6.9,51.3,,,,4,Moderate
1/14/2019,27.1,14.7,59.5,,,,3,Moderate
1/15/2019,30,12.2,47.3,,,,4,Moderate
1/16/2019,33,19,57.3,,,,3,Moderate
1/17/2019,25.2,1.2,35.9,,,,5,Moderate
1/18/2019,34.7,22,60,,,,3,Moderate
1/19/2019,31.4,19.1,61.7,0.084,20.83,Snowfall,3,Moderate
1/20/2019,27.4,22.8,83,1.234,70.83,Snowfall,0,Low
1/21/2019,6.6,-6.8,53.3,,,,3,Moderate
1/22/2019,18.2,-6.9,32.9,,,,5,Moderate
1/23/2019,33.4,21.4,61.4,,,,2,Low
1/24/2019,52.6,47.7,83.8,1.023,50,Rainy,1,Low
1/25/2019,36.2,17.8,47.5,,,,5,Moderate
1/26/2019,29.9,7.4,38.5,,,,5,Moderate
1/27/2019,37.3,24.5,59.8,,,,5,Moderate
1/28/2019,30.6,9.3,41.2,,,,5,Moderate
1/29/2019,29.8,19.8,66.3,0.024,8.33,Rainy,2,Low
1/30/2019,29.4,16.3,61.3,0.163,25,Snowfall,5,Moderate
1/31/2019,11.2,-12.4,33.4,,,,5,Moderate
2/1/2019,16.9,-6,35.4,,,,5,Moderate
2/2/2019,25.1,3.8,40.9,,,,5,Moderate
2/3/2019,34.2,23,64,,,,2,Low
2/4/2019,47.1,34.7,63.7,,,,5,Moderate
2/5/2019,51.9,38.2,61.4,,,,5,Moderate
2/6/2019,36.4,24.9,63.5,0.245,16.67,Snowfall,5,Moderate
2/7/2019,38.8,35.7,88.4,0.338,37.5,Snowfall,3,Moderate
2/8/2019,42.2,32.3,71.3,0.088,25,Rainy,4,Moderate
2/9/2019,30,0.6,28.8,,,,6,High
2/10/2019,30.3,5.4,34.8,,,,5,Moderate
2/11/2019,31.4,4.7,32.6,,,,5,Moderate
2/12/2019,27.1,14,61.1,0.766,37.5,Snowfall,2,Low
2/13/2019,38.1,31.7,78.4,0.416,45.83,Rainy,5,Moderate
2/14/2019,35.1,18,49.9,,,,6,High
2/15/2019,43.2,37.1,78.8,0.102,16.67,Rainy,3,Moderate
2/16/2019,40,20.6,46.1,,,,6,High
2/17/2019,29.4,11.7,47.8,,,,6,High
2/18/2019,29.4,23.9,80.4,0.317,50,Snowfall,1,Low
2/19/2019,24.4,2.5,39.5,,,,7,High
2/20/2019,25.8,7.8,46.9,0.052,8.33,Snowfall,4,Moderate
2/21/2019,37.4,28.4,72.1,0.458,29.17,Snowfall,6,High
2/22/2019,41,21.4,45.5,,,,6,High
2/23/2019,34.3,22.2,61.8,,,,5,Moderate
2/24/2019,41,36.9,85.6,0.48,45.83,Rainy,1,Low
2/25/2019,36.7,16.8,45.2,0.001,4.17,Rainy,5,Moderate
2/26/2019,26.5,-3.5,27.5,,,,7,High
2/27/2019,20.2,-5.6,33.4,0.025,8.33,Snowfall,5,Moderate
2/28/2019,24.9,10.4,57.3,0.178,33.33,Snowfall,6,High
3/1/2019,30.2,11.5,46.1,,,,7,High
3/2/2019,33.1,26.5,76.7,0.183,33.33,Snowfall,2,Low
3/3/2019,35.9,26.5,68.9,0.036,4.17,Snowfall,6,High
3/4/2019,35,26.5,72.6,1.003,50,Snowfall,5,Moderate
3/5/2019,25.2,5.3,42.5,,,,7,High
3/6/2019,22.1,-1.4,36.2,,,,7,High
3/7/2019,22.1,0.5,39.2,,,,7,High
3/8/2019,27.9,7.6,42.5,,,,7,High
3/9/2019,34.1,17.2,53.1,,,,7,High
3/10/2019,36,30.7,81.3,0.463,45.83,Snowfall,1,Low
3/11/2019,43,26.7,55.9,,,,8,Very High
3/12/2019,39.5,18.8,43.5,,,,7,High
3/13/2019,35.6,19.1,51.3,,,,7,High
3/14/2019,42.2,30.9,65.5,,,,5,Moderate
3/15/2019,53.6,47.5,80.1,0.18,12.5,Rainy,5,Moderate
3/16/2019,47.5,28.1,49.1,0.02,4.17,Rainy,8,Very High
3/17/2019,37.2,10.5,33.2,,,,7,High
3/18/2019,36.3,8,31.5,,,,8,Very High
3/19/2019,38.8,14.2,37.4,,,,8,Very High
3/20/2019,40.8,22,47.1,,,,8,Very High
3/21/2019,42.5,30.3,64,,,,4,Moderate
3/22/2019,41.3,35.4,80,0.878,62.5,Rainy,4,Moderate
3/23/2019,40.7,25.5,56.7,0.043,8.33,Rainy,7,High
3/24/2019,46.1,16,31.1,,,,8,Very High
3/25/2019,44.1,18.3,38.4,,,,8,Very High
3/26/2019,37.5,8.6,33,,,,8,Very High
3/27/2019,36,10.5,35,,,,8,Very High
3/28/2019,42.6,28.1,57.4,,,,8,Very High
3/29/2019,50.5,40.2,68.3,0.047,20.83,Rainy,2,Low
3/30/2019,52.3,44.1,74.9,,,,7,High
3/31/2019,55.8,47.5,74.1,0.097,20.83,Rainy,7,High
4/1/2019,41.6,15,37.4,,,,9,Very High
4/2/2019,42.3,18.1,39.7,,,,8,Very High
4/3/2019,48.4,31.3,58.6,0.444,33.33,Rainy,8,Very High
4/4/2019,45.4,7.5,22.1,,,,9,Very High
4/5/2019,39.5,14,37,0.063,8.33,Rainy,6,High
4/6/2019,50.1,38.1,66.9,0.161,25,Rainy,8,Very High
4/7/2019,54.9,38.5,55.5,,,,7,High
4/8/2019,44.6,39.5,82.9,0.316,41.67,Rainy,1,Low
4/9/2019,38.5,35.2,87.6,0.062,8.33,Rainy,2,Low
4/10/2019,41.5,28.1,61.1,0.011,4.17,Rainy,7,High
4/11/2019,43,21.9,44,,,,8,Very High
4/12/2019,48.4,36.3,63.7,,,,2,Low
4/13/2019,63.7,55.6,76.2,0.391,45.83,Rainy,8,Very High
4/14/2019,57.4,46.6,69.7,0.033,12.5,Rainy,7,High
4/15/2019,55.9,47.9,76.2,0.737,37.5,Rainy,7,High
4/16/2019,50.8,23.7,35.9,,,,9,Very High
4/17/2019,51.1,27.2,40.4,,,,9,Very High
4/18/2019,48.9,37.6,65.8,,,,2,Low
4/19/2019,69,57.9,68.7,,,,5,Moderate
4/20/2019,67.1,62.3,84.6,0.2,45.83,Rainy,2,Low
4/21/2019,60.7,55.3,82.9,0.034,16.67,Rainy,8,Very High
4/22/2019,53.7,50.2,87.9,2.08,41.67,Rainy,4,Moderate
4/23/2019,49.7,45.4,85.1,0.313,29.17,Rainy,2,Low
4/24/2019,55.1,44.5,71.3,0.122,16.67,Rainy,9,Very High
4/25/2019,51.3,39,63.1,,,,9,Very High
4/26/2019,47.8,43.6,85.3,0.607,41.67,Rainy,1,Low
4/27/2019,50.3,36.4,62.3,0.802,33.33,Rainy,6,High
4/28/2019,49.3,34.2,56.5,0.012,8.33,Rainy,5,Moderate
