datetime,temp,dew,humidity,precip,precipcover,preciptype,uvindex
2019-01-01 0:00:00.0000,47.2,36.1,67.3,0.576,25,rain,4
2019-01-02 0:00:00.0000,31.9,11.2,43,0,0,,4
2019-01-03 0:00:00.0000,39,27.8,64.8,0.023,8.33,rain,4
2019-01-04 0:00:00.0000,40.9,25.5,54.4,0,0,,4
2019-01-05 0:00:00.0000,40.3,35.7,83.7,0.545,54.17,rain,1
2019-01-06 0:00:00.0000,37.7,24.4,59.8,0,0,,4
2019-01-07 0:00:00.0000,25.5,-0.9,32.1,0,0,,4
2019-01-08 0:00:00.0000,36.2,27.9,74.3,0.023,8.33,"rain,snow",1
2019-01-09 0:00:00.0000,39.8,31.2,72.7,0.13,25,rain,2
2019-01-10 0:00:00.0000,34,18.3,52.3,0,0,,2
2019-01-11 0:00:00.0000,24.7,4.5,42.2,0,0,,4
2019-01-12 0:00:00.0000,21.2,-2.8,34.8,0,0,,4
2019-01-13 0:00:00.0000,22.4,6.9,51.3,0,0,,4
2019-01-14 0:00:00.0000,27.1,14.7,59.5,0,0,,3
2019-01-15 0:00:00.0000,30,12.2,47.3,0,0,,4
2019-01-16 0:00:00.0000,33,19,57.3,0,0,,3
2019-01-17 0:00:00.0000,25.2,1.2,35.9,0,0,,5
2019-01-18 0:00:00.0000,34.7,22,60,0,0,,3
2019-01-19 0:00:00.0000,31.4,19.1,61.7,0.084,20.83,"rain,snow",3
2019-01-20 0:00:00.0000,27.4,22.8,83,1.234,70.83,"rain,snow",0
2019-01-21 0:00:00.0000,6.6,-6.8,53.3,0,0,,3
2019-01-22 0:00:00.0000,18.2,-6.9,32.9,0,0,,5
2019-01-23 0:00:00.0000,33.4,21.4,61.4,0,0,,2
2019-01-24 0:00:00.0000,52.6,47.7,83.8,1.023,50,rain,1
2019-01-25 0:00:00.0000,36.2,17.8,47.5,0,0,,5
2019-01-26 0:00:00.0000,29.9,7.4,38.5,0,0,,5
2019-01-27 0:00:00.0000,37.3,24.5,59.8,0,0,,5
2019-01-28 0:00:00.0000,30.6,9.3,41.2,0,0,,5
